Provinsi,Kab Kota,Kecamatan,Desa,Tanggal,Waktu,Satelit,Confidence,TN,TX,TAVG,RR,FF_AVG
Kalimantan Barat,SINTANG,Ambalau,Nanga Sakai,2023-07-29 00:00:00,13:16 WIB,NASA-MODIS,High,21.3,33.0,27.1,0.0,2.0
Kalimantan Barat,KETAPANG,Muara Pawan,Tempurukan,2023-08-19 00:00:00,21:35 WIB,NASA-MODIS,High,24.3,34.0,28.9,0.0,4.0
Kalimantan Barat,KETAPANG,Air Upas,Gahang,2023-07-29 00:00:00,13:16 WIB,NASA-MODIS,High,23.7,33.6,28.3,0.0,4.0
Kalimantan Barat,SINTANG,Ketungau Hulu,Sepiluk,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,22.6,35.0,28.7,0.0,1.0
Kalimantan Barat,KETAPANG,Hulu Sungai,Batu Lapis,2023-08-19 00:00:00,13:37 WIB,NASA-NOAA20,High,24.3,34.0,28.9,0.0,4.0
Kalimantan Barat,MELAWI,Tanah Pinoh Barat,Keluas Hulu,2023-08-12 00:00:00,13:14 WIB,NASA-MODIS,High,23.0,34.0,27.5,6.7,2.0
Kalimantan Tengah,KOTAWARINGIN TIMUR,Mentaya Hulu,Tanjung Bantur,2023-06-27 00:00:00,21:29 WIB,NASA-MODIS,High,20.8,34.1,26.6,8888.0,1.0
Kalimantan Barat,SAMBAS,Tebas,Maribas,2023-07-31 00:00:00,21:44 WIB,NASA-MODIS,High,23.2,34.2,27.9,0.0,1.0
Kalimantan Utara,BULUNGAN,Tanjung Palas Timur,Tanjung Agung,2023-08-31 00:00:00,13:14 WIB,NASA-NOAA20,High,24.2,35.4,28.8,12.9,2.0
Kalimantan Barat,SAMBAS,Paloh,Temajuk,2023-06-27 00:00:00,01:28 WIB,NASA-MODIS,High,23.6,33.9,28.6,0.0,1.0
Kalimantan Barat,MELAWI,Belimbing,Nanga Pau,2023-08-08 00:00:00,13:44 WIB,NASA-MODIS,High,22.8,33.4,28.3,0.0,1.0
Kalimantan Barat,KUBU RAYA,Sungai Raya,Sungaibulan,2023-07-27 00:00:00,01:11 WIB,NASA-MODIS,High,23.6,34.0,27.5,0.0,4.0
Kalimantan Barat,SINTANG,Ketungau Hilir,Senibung,2023-07-29 00:00:00,13:16 WIB,NASA-MODIS,High,21.3,33.0,27.1,0.0,2.0
Kalimantan Barat,SAMBAS,Teluk Keramat,Sungai Baru,2023-08-13 00:00:00,13:57 WIB,NASA-MODIS,High,23.4,33.4,27.7,0.0,1.0
Kalimantan Barat,MELAWI,Belimbing Hulu,Nanga Keberak,2023-08-19 00:00:00,13:37 WIB,NASA-NOAA20,High,24.7,35.2,29.2,0.0,1.0
Kalimantan Barat,KETAPANG,Simpang Dua,Kamora,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,24.1,33.6,28.5,0.0,4.0
Kalimantan Barat,KETAPANG,Manis Mata,Pakit Selaba,2023-07-29 00:00:00,13:16 WIB,NASA-MODIS,High,23.7,33.6,28.3,0.0,4.0
Kalimantan Barat,KETAPANG,Kendawangan,Seriam,45159,12:57 WIB,NASA-MODIS,Medium,24.3,33.8,28.6,0.0,4.0
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Kemuning Biutak,45136,13:16 WIB,NASA-MODIS,Medium,23.7,33.6,28.3,0.0,4.0
Kalimantan Barat,KETAPANG,Sandai,Randau Jungkal,45147,13:25 WIB,NASA-NOAA20,Medium,23.5,33.4,28.1,0.0,3.0
Kalimantan Barat,KETAPANG,Simpang Dua,Semandang Kanan,45150,12:27 WIB,NASA-NOAA20,Medium,22.5,32.3,26.6,0.0,3.0
Kalimantan Timur,BERAU,Sambaliung,Tumbit Dayak,45147,12:46 WIB,NASA-MODIS,Medium,23.0,35.8,27.3,24.3,1.0
